ID,Entry Name,Gene,Pfam
A1Z1Q3,MACD2_HUMAN,MACROD2,PF01661;
A2A288,ZC12D_HUMAN,ZC3H12D,PF11977;PF18039;
A2A2Y4,FRMD3_HUMAN,FRMD3,PF08736;PF09380;PF00373;PF09379;
A2IDD5,CCD78_HUMAN,CCDC78,PF14739;
A2PYH4,HFM1_HUMAN,HFM1,PF00270;PF00271;PF02889;
A2RRP1,NBAS_HUMAN,NBAS,PF22913;PF15492;PF08314;
A2RTX5,SYTC2_HUMAN,TARS3,PF03129;PF02824;PF00587;PF07973;
A2RU14,TM218_HUMAN,TMEM218,null
A2RU30,TESP1_HUMAN,TESPA1,PF14722;
A2RU49,HYKK_HUMAN,HYKK,PF01636;
A2RUB1,MEIOC_HUMAN,MEIOC,PF15189;
A2RUB6,CCD66_HUMAN,CCDC66,PF15236;
A2RUC4,TYW5_HUMAN,TYW5,PF13621;
A2RUH7,MBPHL_HUMAN,MYBPHL,PF00041;PF07679;
A2VDJ0,T131L_HUMAN,TMEM131L,PF19532;PF12371;
A2VEC9,SSPO_HUMAN,SSPOP,PF08742;PF00754;PF00057;PF01826;PF00090;PF00094;
A3KMH1,VWA8_HUMAN,VWA8,PF07728;
A4D0S4,LAMB4_HUMAN,LAMB4,PF00053;PF21199;PF00055;
A4D126,ISPD_HUMAN,CRPPA,PF01128;PF18706;
A4D161,F221A_HUMAN,FAM221A,PF14753;
A4D1B5,GSAP_HUMAN,GSAP,PF14959;
A4D1E9,GTPBA_HUMAN,GTPBP10,PF01018;PF01926;
A4D1P6,WDR91_HUMAN,WDR91,PF00400;
A4D1T9,PRS37_HUMAN,PRSS37,PF00089;
A4D256,CC14C_HUMAN,CDC14C,PF14671;PF22785;
A4D2B0,MBLC1_HUMAN,MBLAC1,PF00753;
A4D2B8,PM2P1_HUMAN,PMS2P1,PF13589;
A4GXA9,EME2_HUMAN,EME2,PF21292;PF02732;
A4UGR9,XIRP2_HUMAN,XIRP2,PF08043;
A5A3E0,POTEF_HUMAN,POTEF,PF00022;PF12796;PF14915;
A5D8T8,CL18A_HUMAN,CLEC18A,PF00188;PF00059;
A5D8V6,VP37C_HUMAN,VPS37C,PF07200;
A5D8V7,ODAD3_HUMAN,ODAD3,null
A5D8W1,CFA69_HUMAN,CFAP69,PF21049;
A5LHX3,PSB11_HUMAN,PSMB11,PF00227;
A5PKW4,PSD1_HUMAN,PSD,PF15410;PF01369;
A5PLL7,PDES1_HUMAN,PEDS1,PF10520;
A5X5Y0,5HT3E_HUMAN,HTR3E,PF02931;PF02932;
A5YKK6,CNOT1_HUMAN,CNOT1,PF22940;PF16415;PF16418;PF16417;PF12842;PF04054;
A5YM72,CRNS1_HUMAN,CARNS1,PF18130;PF15632;
A6BM72,MEG11_HUMAN,MEGF11,PF12661;PF00053;
A6H8Y1,BDP1_HUMAN,BDP1,PF15963;
A6H8Z2,F221B_HUMAN,FAM221B,PF14753;
A6NC98,CC88B_HUMAN,CCDC88B,PF19047;
A6NCS4,NKX26_HUMAN,NKX2-6,PF00046;
A6ND01,JUNO_HUMAN,IZUMO1R,PF03024;
A6ND36,FA83G_HUMAN,FAM83G,PF07894;
A6NDB9,PALM3_HUMAN,PALM3,PF03285;
A6NDE4,RBY1B_HUMAN,RBMY1B,PF08081;PF00076;
A6NDG6,PGP_HUMAN,PGP,PF13344;PF13242;
A6NDV4,TMM8B_HUMAN,TMEM8B,PF12036;
A6NED2,RCCD1_HUMAN,RCCD1,PF00415;
A6NEM1,GG6L9_HUMAN,GOLGA6L9,PF15070;
A6NFA1,TIKI2_HUMAN,TRABD2B,PF01963;
A6NFQ2,TCAF2_HUMAN,TCAF2,PF17291;PF13402;
A6NFX1,MFS2B_HUMAN,MFSD2B,PF13347;
A6NFY7,SDHF1_HUMAN,SDHAF1,PF05347;
A6NGG8,PCARE_HUMAN,PCARE,PF15449;
A6NGQ2,OOEP_HUMAN,OOEP,PF16005;
A6NGU5,GGT3_HUMAN,GGT3P,PF01019;
A6NHL2,TBAL3_HUMAN,TUBAL3,PF00091;PF03953;
A6NHR9,SMHD1_HUMAN,SMCHD1,PF13589;PF06470;PF22899;
A6NHX0,CAST2_HUMAN,CASTOR2,PF13840;PF21389;PF18700;
A6NI15,MSGN1_HUMAN,MSGN1,PF00010;
A6NI61,MYMK_HUMAN,MYMK,PF12036;
A6NI73,LIRA5_HUMAN,LILRA5,PF13895;
A6NIH7,U119B_HUMAN,UNC119B,PF05351;
A6NIX2,WTIP_HUMAN,WTIP,PF00412;
A6NJ46,NKX63_HUMAN,NKX6-3,PF00046;
A6NJ78,MET15_HUMAN,METTL15,PF01795;
A6NK06,IRG1_HUMAN,ACOD1,PF19305;PF03972;
A6NK58,LIPT2_HUMAN,LIPT2,PF21948;
A6NK89,RASFA_HUMAN,RASSF10,PF21712;
A6NKB5,PCX2_HUMAN,PCNX2,PF05041;
A6NKF2,ARI3C_HUMAN,ARID3C,PF01388;
A6NMZ7,CO6A6_HUMAN,COL6A6,PF01391;PF00092;
A6NNB3,IFM5_HUMAN,IFITM5,PF04505;
A6NNM8,TTL13_HUMAN,TTLL13,PF03133;
A6NNN8,S38A8_HUMAN,SLC38A8,PF01490;
A6NNY8,UBP27_HUMAN,USP27X,PF00443;
A6NNZ2,TBB8B_HUMAN,TUBB8B,PF00091;PF03953;
A6PVC2,TTLL8_HUMAN,TTLL8,PF03133;
A7E2V4,ZSWM8_HUMAN,ZSWIM8,PF21055;
A7E2Y1,MYH7B_HUMAN,MYH7B,PF00063;PF02736;PF01576;
A7KAX9,RHG32_HUMAN,ARHGAP32,PF00620;PF14604;
A7MCY6,TBKB1_HUMAN,TBKBP1,PF12845;
A7MD48,SRRM4_HUMAN,SRRM4,PF15230;
A7XYQ1,SOBP_HUMAN,SOBP,PF15279;
A8CG34,P121C_HUMAN,POM121C,PF15229;
A8K0Z3,WASH1_HUMAN,WASHC1,PF11945;
A8K2U0,A2ML1_HUMAN,A2ML1,PF00207;PF07703;PF07677;PF01835;PF17791;PF17789;PF07678;
A8K4G0,CLM7_HUMAN,CD300LB,PF07686;
A8K7I4,CLCA1_HUMAN,CLCA1,PF08434;PF13519;
A8K830,OCAT2_HUMAN,POU2AF3,null
A8K8P3,SFI1_HUMAN,SFI1,null
A8K8V0,ZN785_HUMAN,ZNF785,PF01352;PF00096;
A8MPY1,GBRR3_HUMAN,GABRR3,PF02931;PF02932;
A8MQ03,CRTP1_HUMAN,CYSRT1,PF10631;
A8MQ27,NEU1B_HUMAN,NEURL1B,PF07177;PF13920;
A8MT69,CENPX_HUMAN,CENPX,PF09415;
A8MTA8,CMI2B_HUMAN,CIMIP2B,PF10629;
A8MTJ3,GNAT3_HUMAN,GNAT3,PF00503;
A8MTJ6,FOXI3_HUMAN,FOXI3,PF00250;
A8MTQ0,NOTO_HUMAN,NOTO,PF00046;
A8MTZ0,BBIP1_HUMAN,BBIP1,PF14777;
A8MU46,SMTL1_HUMAN,SMTNL1,PF00307;
A8MUP2,CSKMT_HUMAN,CSKMT,PF13847;
A8MV65,VGLL3_HUMAN,VGLL3,PF07545;
A8MVW5,HECA2_HUMAN,HEPACAM2,PF13927;
A8MW92,P20L1_HUMAN,PHF20L1,PF16660;PF20826;PF18104;
A8MW95,BECN2_HUMAN,BECN2,PF04111;PF17675;
A8MW99,MEI4_HUMAN,MEI4,PF13971;
A8MXD5,GRCR1_HUMAN,GRXCR1,PF00462;
A8MXV4,NUD19_HUMAN,NUDT19,null
A8MYU2,KCNU1_HUMAN,KCNU1,PF03493;PF00520;PF22614;PF21014;
A8MZ59,LEUTX_HUMAN,LEUTX,PF00046;
A8TX70,CO6A5_HUMAN,COL6A5,PF01391;PF00092;
A9QM74,IMA8_HUMAN,KPNA7,PF00514;PF16186;PF01749;
A9UHW6,MI4GD_HUMAN,MIF4GD,PF02854;
A9YTQ3,AHRR_HUMAN,AHRR,PF00010;PF00989;
B0I1T2,MYO1G_HUMAN,MYO1G,PF00063;PF06017;
B0L3A2,DESPR_HUMAN,FBXW7-AS1,null
B0YJ81,HACD1_HUMAN,HACD1,PF04387;
B1AK53,ESPN_HUMAN,ESPN,PF12796;PF02205;
B2RTY4,MYO9A_HUMAN,MYO9A,PF00130;PF00612;PF00063;PF00788;PF00620;
B2RUY7,VWC2L_HUMAN,VWC2L,null
B2RUZ4,SMIM1_HUMAN,SMIM1,PF15875;
B2RXF5,ZBT42_HUMAN,ZBTB42,PF00651;PF00096;PF13894;
B2RXH2,KDM4E_HUMAN,KDM4E,PF02373;PF02375;
B3KU38,IQIP1_HUMAN,IQCJ-SCHIP1,PF15157;PF10148;
B6A8C7,TARM1_HUMAN,TARM1,PF13895;
B7U540,KCJ18_HUMAN,KCNJ18,PF01007;PF17655;PF08466;
B7ZAQ6,GPHRA_HUMAN,GPR89A,PF12430;PF12537;
C4AMC7,WASH3_HUMAN,WASH3P,PF11945;
C9JE40,PATL2_HUMAN,PATL2,PF09770;
C9JLW8,MCRI1_HUMAN,MCRIP1,PF14799;
C9JR72,KBTBD_HUMAN,KBTBD13,PF00651;PF01344;
C9JRZ8,AK1BF_HUMAN,AKR1B15,PF00248;
D3W0D1,KLRF2_HUMAN,KLRF2,PF00059;
D6RGH6,MCIN_HUMAN,MCIDAS,PF07412;
E0CX11,STMP1_HUMAN,STMP1,PF15054;
F5H094,SO1BT_HUMAN,SLCO1B3-SLCO1B7,PF07648;PF03137;
G2XKQ0,SUMO5_HUMAN,SUMO1P1,PF11976;
H0YL14,TM250_HUMAN,TMEM250,PF17685;
H3BV60,TGR3L_HUMAN,TGFBR3L,PF00100;
K7EJ46,SIM22_HUMAN,SMIM22,PF15831;
K9M1U5,IFNL4_HUMAN,IFNL4,PF15177;
L0R8F8,MIDUO_HUMAN,MIEF1,PF05347;
M0R2J8,DCDC1_HUMAN,DCDC1,null
O00115,DNS2A_HUMAN,DNASE2,PF03265;
O00116,ADAS_HUMAN,AGPS,PF02913;PF01565;
O00124,UBXN8_HUMAN,UBXN8,PF00789;
O00139,KIF2A_HUMAN,KIF2A,PF22923;PF00225;
O00141,SGK1_HUMAN,SGK1,PF00069;PF00433;
O00142,KITM_HUMAN,TK2,PF01712;
O00144,FZD9_HUMAN,FZD9,PF01534;PF01392;
O00148,DX39A_HUMAN,DDX39A,PF00270;PF00271;
O00151,PDLI1_HUMAN,PDLIM1,PF15936;PF00412;PF00595;
O00154,BACH_HUMAN,ACOT7,PF03061;
O00155,GPR25_HUMAN,GPR25,PF00001;
O00159,MYO1C_HUMAN,MYO1C,PF00612;PF00063;PF06017;
O00160,MYO1F_HUMAN,MYO1F,PF00063;PF06017;PF00018;
O00161,SNP23_HUMAN,SNAP23,PF00835;
O00165,HAX1_HUMAN,HAX1,null
O00167,EYA2_HUMAN,EYA2,PF00702;
O00168,PLM_HUMAN,FXYD1,PF02038;
O00170,AIP_HUMAN,AIP,PF00254;
O00175,CCL24_HUMAN,CCL24,PF00048;
O00178,GTPB1_HUMAN,GTPBP1,PF00009;PF03144;
O00180,KCNK1_HUMAN,KCNK1,PF07885;
O00182,LEG9_HUMAN,LGALS9,PF00337;
O00186,STXB3_HUMAN,STXBP3,PF00995;
O00187,MASP2_HUMAN,MASP2,PF00431;PF07645;PF00084;PF00089;
O00189,AP4M1_HUMAN,AP4M1,PF00928;PF01217;
O00192,ARVC_HUMAN,ARVCF,PF00514;
O00194,RB27B_HUMAN,RAB27B,PF00071;
O00198,HRK_HUMAN,HRK,PF15196;
O00203,AP3B1_HUMAN,AP3B1,PF01602;PF14796;PF14797;
O00204,ST2B1_HUMAN,SULT2B1,PF00685;
O00206,TLR4_HUMAN,TLR4,PF12799;PF13516;PF13855;PF01582;
O00212,RHOD_HUMAN,RHOD,PF00071;
O00213,APBB1_HUMAN,APBB1,PF00640;PF00397;
O00214,LEG8_HUMAN,LGALS8,PF00337;
O00217,NDUS8_HUMAN,NDUFS8,PF12838;
O00219,HYAS3_HUMAN,HAS3,PF13641;
O00220,TR10A_HUMAN,TNFRSF10A,PF00531;PF00020;
O00221,IKBE_HUMAN,NFKBIE,PF12796;
O00222,GRM8_HUMAN,GRM8,PF00003;PF01094;PF07562;
O00231,PSD11_HUMAN,PSMD11,PF01399;PF18503;PF18055;
O00232,PSD12_HUMAN,PSMD12,PF01399;PF22241;PF18098;
O00233,PSMD9_HUMAN,PSMD9,PF18265;PF17820;
O00237,RN103_HUMAN,RNF103,PF13639;
O00238,BMR1B_HUMAN,BMPR1B,PF01064;PF07714;PF08515;
O00241,SIRB1_HUMAN,SIRPB1,PF07654;PF07686;
O00244,ATOX1_HUMAN,ATOX1,PF00403;
O00253,AGRP_HUMAN,AGRP,PF05039;
O00254,PAR3_HUMAN,F2RL2,PF00001;
O00255,MEN1_HUMAN,MEN1,PF05053;
O00257,CBX4_HUMAN,CBX4,PF17218;PF00385;
O00258,GET1_HUMAN,GET1,PF04420;
O00264,PGRC1_HUMAN,PGRMC1,PF00173;
O00267,SPT5H_HUMAN,SUPT5H,PF00467;PF03439;PF11942;
O00268,TAF4_HUMAN,TAF4,PF05236;PF07531;
O00270,GPR31_HUMAN,GPR31,PF00001;
O00273,DFFA_HUMAN,DFFA,PF02017;PF09033;
O00287,RFXAP_HUMAN,RFXAP,PF15289;
O00291,HIP1_HUMAN,HIP1,PF07651;PF16515;PF01608;
O00292,LFTY2_HUMAN,LEFTY2,PF00019;PF00688;
O00294,TULP1_HUMAN,TULP1,PF01167;
O00299,CLIC1_HUMAN,CLIC1,PF22441;PF13410;
O00300,TR11B_HUMAN,TNFRSF11B,PF00531;PF00020;
O00303,EIF3F_HUMAN,EIF3F,PF01398;PF13012;
O00305,CACB4_HUMAN,CACNB4,PF00625;PF12052;
O00308,WWP2_HUMAN,WWP2,PF00632;PF00397;
O00311,CDC7_HUMAN,CDC7,PF00069;
O00322,UPK1A_HUMAN,UPK1A,PF00335;
O00327,BMAL1_HUMAN,BMAL1,PF00010;PF00989;PF14598;
O00329,PK3CD_HUMAN,PIK3CD,PF00454;PF00792;PF02192;PF00794;PF00613;
O00330,ODPX_HUMAN,PDHX,PF00198;PF00364;PF02817;
O00337,S28A1_HUMAN,SLC28A1,PF07670;PF07662;PF01773;
O00338,ST1C2_HUMAN,SULT1C2,PF00685;
O00339,MATN2_HUMAN,MATN2,PF12662;PF07645;PF14670;PF10393;PF00092;
O00341,EAA5_HUMAN,SLC1A7,PF00375;
O00358,FOXE1_HUMAN,FOXE1,PF00250;
O00370,LORF2_HUMAN,null,PF03372;PF00078;
O00391,QSOX1_HUMAN,QSOX1,PF04777;PF18371;PF18108;PF00085;
O00399,DCTN6_HUMAN,DCTN6,null
O00400,ACATN_HUMAN,SLC33A1,PF13000;
O00401,WASL_HUMAN,WASL,PF00786;PF00568;PF02205;
O00408,PDE2A_HUMAN,PDE2A,PF01590;PF00233;
O00409,FOXN3_HUMAN,FOXN3,PF00250;
O00410,IPO5_HUMAN,IPO5,PF02985;PF13513;PF18808;PF18816;PF18829;
O00411,RPOM_HUMAN,POLRMT,PF00940;PF14700;
O00418,EF2K_HUMAN,EEF2K,PF02816;
O00421,CCRL2_HUMAN,CCRL2,PF00001;
O00422,SAP18_HUMAN,SAP18,PF06487;
O00423,EMAL1_HUMAN,EML1,PF03451;PF00400;
O00425,IF2B3_HUMAN,IGF2BP3,PF00013;PF00076;
O00429,DNM1L_HUMAN,DNM1L,PF01031;PF00350;PF02212;
O00442,RTCA_HUMAN,RTCA,PF01137;PF05189;
O00443,P3C2A_HUMAN,PIK3C2A,PF00168;PF00454;PF00792;PF00794;PF00613;PF00787;
O00444,PLK4_HUMAN,PLK4,PF00069;PF18190;PF18409;
O00445,SYT5_HUMAN,SYT5,PF00168;
O00451,GFRA2_HUMAN,GFRA2,PF02351;
O00453,LST1_HUMAN,LST1,PF05083;
O00459,P85B_HUMAN,PIK3R2,PF16454;PF00620;PF00017;
O00461,GOLI4_HUMAN,GOLIM4,null
O00462,MANBA_HUMAN,MANBA,PF02836;PF22666;PF17753;PF17786;
O00463,TRAF5_HUMAN,TRAF5,PF21355;PF21363;PF02176;
O00468,AGRIN_HUMAN,AGRN,PF00008;PF00050;PF07648;PF00053;PF00054;PF03146;PF01390;
O00469,PLOD2_HUMAN,PLOD2,PF03171;
O00470,MEIS1_HUMAN,MEIS1,PF05920;PF16493;
O00471,EXOC5_HUMAN,EXOC5,PF07393;PF20667;
O00472,ELL2_HUMAN,ELL2,PF10390;PF07303;
O00476,NPT4_HUMAN,SLC17A3,PF07690;
O00478,BT3A3_HUMAN,BTN3A3,PF22705;PF13765;PF00622;PF07686;
O00481,BT3A1_HUMAN,BTN3A1,PF22705;PF13765;PF00622;PF07686;
O00482,NR5A2_HUMAN,NR5A2,PF00104;PF00105;
O00483,NDUA4_HUMAN,NDUFA4,PF06522;
O00487,PSDE_HUMAN,PSMD14,PF01398;
O00488,ZN593_HUMAN,ZNF593,PF12171;
O00499,BIN1_HUMAN,BIN1,PF03114;PF14604;
O00501,CLD5_HUMAN,CLDN5,PF00822;
O00505,IMA4_HUMAN,KPNA3,PF00514;PF16186;PF01749;
O00506,STK25_HUMAN,STK25,PF20929;PF00069;
O00507,USP9Y_HUMAN,USP9Y,PF12030;PF00443;PF22900;
O00512,BCL9_HUMAN,BCL9,PF11502;
O00519,FAAH1_HUMAN,FAAH,PF01425;
O00522,KRIT1_HUMAN,KRIT1,PF13857;PF00373;PF16705;
O00526,UPK2_HUMAN,UPK2,PF07353;
O00533,NCHL1_HUMAN,CHL1,PF13882;PF00041;PF07679;PF00047;PF13927;
O00541,PESC_HUMAN,PES1,PF16589;PF06732;
O00548,DLL1_HUMAN,DLL1,PF21700;PF01414;PF00008;PF07657;
O00555,CAC1A_HUMAN,CACNA1A,PF08763;PF16905;PF00520;
O00559,RCAS1_HUMAN,EBAG9,null
O00560,SDCB1_HUMAN,SDCBP,PF00595;
O00562,PITM1_HUMAN,PITPNM1,PF02862;PF02121;
O00566,MPP10_HUMAN,MPHOSPH10,PF04006;
O00567,NOP56_HUMAN,NOP56,PF01798;PF08156;
O00571,DDX3X_HUMAN,DDX3X,PF00270;PF00271;
O00574,CXCR6_HUMAN,CXCR6,PF00001;
O00584,RNT2_HUMAN,RNASET2,PF00445;
O00585,CCL21_HUMAN,CCL21,PF00048;
O00587,MFNG_HUMAN,MFNG,PF02434;
O00590,ACKR2_HUMAN,ACKR2,PF00001;
O00591,GBRP_HUMAN,GABRP,PF02931;PF02932;
O00592,PODXL_HUMAN,PODXL,PF06365;
O00602,FCN1_HUMAN,FCN1,PF01391;PF00147;
O00622,CCN1_HUMAN,CCN1,PF00007;PF00219;PF19035;PF00093;
O00623,PEX12_HUMAN,PEX12,PF04757;
O00624,NPT3_HUMAN,SLC17A2,PF07690;
O00625,PIR_HUMAN,PIR,PF02678;PF05726;
O00626,CCL22_HUMAN,CCL22,PF00048;
O00628,PEX7_HUMAN,PEX7,PF00400;
O00629,IMA3_HUMAN,KPNA4,PF00514;PF16186;PF01749;
O00631,SARCO_HUMAN,SLN,PF05366;
O00635,TRI38_HUMAN,TRIM38,PF13765;PF00622;PF00643;PF15227;
O00712,NFIB_HUMAN,NFIB,PF00859;PF03165;PF10524;
O00716,E2F3_HUMAN,E2F3,PF16421;PF02319;
O00743,PPP6_HUMAN,PPP6C,PF00149;
O00744,WN10B_HUMAN,WNT10B,PF00110;
O00746,NDKM_HUMAN,NME4,PF00334;
O00748,EST2_HUMAN,CES2,PF00135;
O00750,P3C2B_HUMAN,PIK3C2B,PF00168;PF00454;PF00792;PF00794;PF00613;PF00787;
O00754,MA2B1_HUMAN,MAN2B1,PF09261;PF17677;PF07748;PF01074;PF21260;
O00755,WNT7A_HUMAN,WNT7A,PF00110;
O00757,F16P2_HUMAN,FBP2,PF00316;PF18913;
O00762,UBE2C_HUMAN,UBE2C,PF00179;
O00763,ACACB_HUMAN,ACACB,PF08326;PF21385;PF02785;PF00289;PF00364;PF01039;PF02786;
O00764,PDXK_HUMAN,PDXK,PF08543;
O00767,SCD_HUMAN,SCD,null
O14490,DLGP1_HUMAN,DLGAP1,PF03359;
O14492,SH2B2_HUMAN,SH2B2,PF00169;PF08916;PF00017;
O14493,CLD4_HUMAN,CLDN4,PF00822;
O14494,PLPP1_HUMAN,PLPP1,PF01569;
O14495,PLPP3_HUMAN,PLPP3,PF01569;
O14497,ARI1A_HUMAN,ARID1A,PF01388;PF12031;
O14503,BHE40_HUMAN,BHLHE40,PF07527;PF00010;
O14508,SOCS2_HUMAN,SOCS2,PF00017;PF07525;
O14511,NRG2_HUMAN,NRG2,PF07679;PF02158;
O14512,SOCS7_HUMAN,SOCS7,PF00017;PF07525;
O14513,NCKP5_HUMAN,NCKAP5,PF15246;
O14514,AGRB1_HUMAN,ADGRB1,PF00002;PF19188;PF16489;PF01825;PF02793;PF00090;
O14519,CDKA1_HUMAN,CDK2AP1,PF09806;
O14520,AQP7_HUMAN,AQP7,PF00230;
O14521,DHSD_HUMAN,SDHD,PF05328;
O14522,PTPRT_HUMAN,PTPRT,PF00041;PF00629;PF00102;
O14523,C2C2L_HUMAN,C2CD2L,PF00168;PF18696;
O14524,NEMP1_HUMAN,NEMP1,PF10225;
O14525,ASTN1_HUMAN,ASTN1,PF18411;PF19743;PF19441;
O14526,FCHO1_HUMAN,FCHO1,PF22699;PF10291;
O14529,CUX2_HUMAN,CUX2,PF02376;PF00046;
O14530,TXND9_HUMAN,TXNDC9,PF00085;
O14531,DPYL4_HUMAN,DPYSL4,PF01979;
O14543,SOCS3_HUMAN,SOCS3,PF00017;
O14544,SOCS6_HUMAN,SOCS6,PF00017;PF07525;
O14548,CO72L_HUMAN,COX7A2L,PF02238;
O14556,G3PT_HUMAN,GAPDHS,PF02800;PF00044;
O14558,HSPB6_HUMAN,HSPB6,PF00525;PF00011;
O14559,RHG33_HUMAN,ARHGAP33,PF00620;PF14604;
O14561,ACPM_HUMAN,NDUFAB1,PF00550;
O14569,C56D2_HUMAN,CYB561D2,PF03188;
O14576,DC1I1_HUMAN,DYNC1I1,PF11540;PF00400;
O14578,CTRO_HUMAN,CIT,PF00780;PF00169;PF00069;PF00433;
O14579,COPE_HUMAN,COPE,PF04733;
O14593,RFXK_HUMAN,RFXANK,PF12796;
O14594,NCAN_HUMAN,NCAN,PF00008;PF00059;PF00084;PF07686;PF00193;
O14595,CTDS2_HUMAN,CTDSP2,PF03031;
O14607,UTY_HUMAN,UTY,PF02373;PF21322;PF21326;PF13181;
O14610,GBGT2_HUMAN,GNGT2,PF00631;
O14613,BORG1_HUMAN,CDC42EP2,PF14957;PF00786;
O14617,AP3D1_HUMAN,AP3D1,PF01602;PF06375;
O14618,CCS_HUMAN,CCS,PF00403;PF00080;
O14625,CXL11_HUMAN,CXCL11,PF00048;
O14627,CDX4_HUMAN,CDX4,PF04731;PF00046;
O14628,ZN195_HUMAN,ZNF195,PF01352;PF00096;PF13912;
O14633,LCE2B_HUMAN,LCE2B,PF14672;
O14638,ENPP3_HUMAN,ENPP3,PF01663;PF01033;
O14639,ABLM1_HUMAN,ABLIM1,PF16182;PF00412;PF02209;
O14640,DVL1_HUMAN,DVL1,PF00610;PF02377;PF00778;PF12316;PF00595;
O14641,DVL2_HUMAN,DVL2,PF00610;PF02377;PF00778;PF12316;PF00595;
O14645,IDLC_HUMAN,DNALI1,PF10211;
O14646,CHD1_HUMAN,CHD1,PF18375;PF13907;PF00385;PF00271;PF00176;
O14647,CHD2_HUMAN,CHD2,PF18375;PF13907;PF00385;PF00271;PF00176;
O14649,KCNK3_HUMAN,KCNK3,PF07885;
O14653,GOSR2_HUMAN,GOSR2,PF12352;
O14654,IRS4_HUMAN,IRS4,PF02174;
O14656,TOR1A_HUMAN,TOR1A,PF21376;PF06309;
O14657,TOR1B_HUMAN,TOR1B,PF21376;PF06309;
O14662,STX16_HUMAN,STX16,PF05739;PF00804;
O14669,TMG2_HUMAN,PRRG2,PF00594;
O14672,ADA10_HUMAN,ADAM10,PF21299;PF00200;PF13574;
O14678,ABCD4_HUMAN,ABCD4,PF06472;PF00005;
O14681,EI24_HUMAN,EI24,PF07264;
O14682,ENC1_HUMAN,ENC1,PF07707;PF00651;PF01344;
O14684,PTGES_HUMAN,PTGES,PF01124;
O14686,KMT2D_HUMAN,KMT2D,PF05965;PF05964;PF00628;PF00856;PF13771;PF13832;
O14713,ITBP1_HUMAN,ITGB1BP1,PF10480;
O14717,TRDMT_HUMAN,TRDMT1,PF00145;
O14727,APAF_HUMAN,APAF1,PF21296;PF17908;PF00619;PF00931;PF00400;
O14730,RIOK3_HUMAN,RIOK3,PF01163;
O14732,IMPA2_HUMAN,IMPA2,PF00459;
O14733,MP2K7_HUMAN,MAP2K7,PF00069;
O14734,ACOT8_HUMAN,ACOT8,PF13622;PF20789;
O14735,CDIPT_HUMAN,CDIPT,PF01066;
O14737,PDCD5_HUMAN,PDCD5,PF01984;
O14744,ANM5_HUMAN,PRMT5,PF05185;PF17286;PF17285;
O14745,NHRF1_HUMAN,NHERF1,PF09007;PF00595;
O14746,TERT_HUMAN,TERT,PF00078;PF12009;PF21399;
